飘	(飄)[飃]
醇	[醕]
霉	(黴)
瞒	(瞞)
题	(題)
嘻	[譆]
踩	[跴]
踪	[蹤]
蝶	[蜨]
蝎	[蠍]
嘱	(囑)
镇	(鎮)
镐	(鎬)
镑	(鎊)
稿	[稾]
篓	(簍)
僵	[殭]
德	[惪]
膝	[厀]
鲤	(鯉)
鲫	(鯽)
褒	[襃]
瘪	(癟)[㿜]
瘤	[癅]
瘫	(癱)
颜	(顔)
糊	[䊀餬]
潜	[潛]
鲨	(鯊)
澜	(瀾)
澄	[澂]
憔	[癄顦]
额	(額)[頟]
谴	(譴)
鹤	(鶴)
缭	(繚)
操	[𢮥]
燕	[鷰]
薯	[藷]
颠	(顛)
橱	[櫥]
融	[螎]
辙	(轍)
蹄	[蹏]
蟆	[蟇]
噪	[譟]
鹦	(鸚)
赠	(贈)
镜	(鏡)
赞	(贊)[賛讚]
篮	(籃)
篡	[簒]
篱	(篱|籬)
雕	[彫琱鵰]
鲸	(鯨)
瘾	(癮)
辩	(辯)
糖	[餹]
糕	[餻]
濒	(瀕)
懒	(懶)[嬾]
缰	(繮)[韁]
缴	(繳)
檐	[簷]
磷	[粦燐]
瞩	(矚)
赡	(贍)
繁	[緐]
徽	[幑]
鳄	(鰐)[鱷]
辫	(辮)
赢	(贏)
糟	[蹧]
糠	[粇穅]
臀	[臋]
骤	(驟)
藤	[籐]
嚣	(囂)
镰	(鐮)[鎌䥥]
翻	[繙飜]
鳍	(鰭)
鹰	(鷹)
孽	[孼]
巅	(巔)
蟹	[蠏]
颤	(顫)
癣	(癬)
鳖	(鱉)[鼈]
鬓	(鬢)
耀	[燿]
蠕	[蝡]
鳞	(鱗)
糯	[稬穤]
蠢	[惷]
霸	[覇]
躏	(躪)
赣	(贛)[贑灨]
镶	(鑲)
罐	[鑵]
韦	(韋)
厄	[戹阨]
闩	(閂)
讣	(訃)
札	[剳劄]
匝	[帀]
劢	(勱)
卮	[巵]
刍	(芻)
邝	(鄺)
